"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17","t [pixel] #18","x [pixel] #18","t [pixel] #19","x [pixel] #19","t [pixel] #20","x [pixel] #20","t [pixel] #21","x [pixel] #21","t [pixel] #22","x [pixel] #22","t [pixel] #23","x [pixel] #23","t [pixel] #24","x [pixel] #24","t [pixel] #25","x [pixel] #25","t [pixel] #26","x [pixel] #26","t [pixel] #27","x [pixel] #27","t [pixel] #28","x [pixel] #28","t [pixel] #29","x [pixel] #29","t [pixel] #30","x [pixel] #30","t [pixel] #31","x [pixel] #31","t [pixel] #32","x [pixel] #32","t [pixel] #33","x [pixel] #33","t [pixel] #34","x [pixel] #34","t [pixel] #35","x [pixel] #35","t [pixel] #36","x [pixel] #36","t [pixel] #37","x [pixel] #37","t [pixel] #38","x [pixel] #38","t [pixel] #39","x [pixel] #39","t [pixel] #40","x [pixel] #40","t [pixel] #41","x [pixel] #41","t [pixel] #42","x [pixel] #42","t [pixel] #43","x [pixel] #43","t [pixel] #44","x [pixel] #44","t [pixel] #45","x [pixel] #45","t [pixel] #46","x [pixel] #46","t [pixel] #47","x [pixel] #47","t [pixel] #48","x [pixel] #48","t [pixel] #49","x [pixel] #49","t [pixel] #50","x [pixel] #50"
0.2,61.6,0.2,88.80000000000001,0.4,44.800000000000004,37.,130.4,0.4,95.2,0.4,99.2,0.4,114.4,23.200000000000003,116.,0.4,140.8,0.4,150.4,0.6000000000000001,3.2,0.6000000000000001,108.,13.600000000000001,108.80000000000001,0.8,132.,1.2000000000000002,24.8,2.2,60.,2.6,20.8,4.,12.8,11.8,28.,4.2,53.6,6.,144.,6.6000000000000005,96.80000000000001,6.800000000000001,99.2,6.800000000000001,146.4,12.8,145.6,9.,4.,9.,12.8,13.200000000000001,53.6,14.200000000000001,4.800000000000001,21.8,4.,16.8,0.8,16.8,31.200000000000003,28.200000000000003,121.60000000000001,30.6,144.8,33.800000000000004,143.20000000000002,35.2,126.4,38.6,43.2,1.,131.20000000000002,4.6000000000000005,27.200000000000003,8.200000000000001,36.,13.8,98.4,18.8,124.80000000000001,22.200000000000003,139.20000000000002,24.,8.8,26.6,99.2,29.,133.6,9.600000000000001,39.2,13.600000000000001,43.2,17.6,53.6,33.6,4.
0.4,61.6,0.4,88.80000000000001,0.6000000000000001,45.6,37.2,129.6,0.6000000000000001,95.2,0.6000000000000001,99.2,0.6000000000000001,114.4,23.400000000000002,116.,0.6000000000000001,140.8,0.6000000000000001,150.4,0.8,3.2,0.8,108.,13.8,108.80000000000001,1.,132.8,1.4000000000000001,24.8,2.4000000000000004,60.800000000000004,2.8000000000000003,20.8,4.2,12.8,12.,28.8,4.4,54.400000000000006,6.2,144.,6.800000000000001,96.80000000000001,7.,99.2,7.,146.4,13.,145.6,9.200000000000001,4.,9.200000000000001,12.8,13.4,53.6,14.4,4.800000000000001,22.,4.800000000000001,17.,0.8,17.,32.,28.400000000000002,120.80000000000001,30.8,145.6,34.,143.20000000000002,35.4,127.2,38.800000000000004,44.,1.2000000000000002,130.4,4.800000000000001,26.400000000000002,8.4,35.2,14.,97.60000000000001,19.,124.,22.400000000000002,138.4,24.200000000000003,8.,26.8,98.4,29.200000000000003,132.8,9.8,38.400000000000006,13.8,44.,17.8,53.6,33.800000000000004,3.2
0.6000000000000001,62.400000000000006,0.6000000000000001,89.60000000000001,0.8,46.400000000000006,37.4,129.6,0.8,95.2,0.8,99.2,0.8,114.4,23.6,116.,0.8,140.8,0.8,150.4,1.,3.2,1.,108.,14.,108.80000000000001,1.2000000000000002,132.8,1.6,24.8,2.6,61.6,3.,21.6,4.4,12.8,12.200000000000001,29.6,4.6000000000000005,54.400000000000006,6.4,144.,7.,96.80000000000001,7.2,99.2,7.2,146.4,13.200000000000001,145.6,9.4,4.,9.4,12.8,13.600000000000001,53.6,14.600000000000001,4.800000000000001,22.200000000000003,4.,17.2,0.8,17.2,32.,28.6,120.80000000000001,31.,145.6,34.2,143.20000000000002,35.6,128.,39.,44.800000000000004,1.4000000000000001,130.4,5.,26.400000000000002,8.6,35.2,14.200000000000001,97.60000000000001,19.200000000000003,123.2,22.6,137.6,24.400000000000002,8.,27.,98.4,29.400000000000002,132.8,10.,38.400000000000006,14.,44.800000000000004,18.,53.6,34.,3.2
0.8,63.2,0.8,90.4,1.,47.2,37.6,129.6,1.,95.2,1.,99.2,1.,114.4,23.8,116.,1.,140.8,1.,150.4,1.2000000000000002,3.2,1.2000000000000002,108.,14.200000000000001,108.80000000000001,1.4000000000000001,132.8,1.8,25.6,2.8000000000000003,61.6,3.2,22.400000000000002,4.6000000000000005,12.8,12.4,30.400000000000002,4.800000000000001,54.400000000000006,6.6000000000000005,144.,7.2,96.80000000000001,7.4,99.2,7.4,146.4,13.4,145.6,9.600000000000001,4.,9.600000000000001,12.8,13.8,53.6,14.8,4.800000000000001,22.400000000000002,1.6,17.400000000000002,0.8,17.400000000000002,32.800000000000004,28.8,120.,31.200000000000003,145.6,34.4,143.20000000000002,35.800000000000004,128.8,39.2,46.400000000000006,1.6,130.4,5.2,26.400000000000002,8.8,34.4,14.4,97.60000000000001,19.400000000000002,123.2,22.8,137.6,24.6,8.,27.200000000000003,98.4,29.6,132.8,10.200000000000001,38.400000000000006,14.200000000000001,45.6,18.2,53.6,34.2,3.2
1.,64.,1.,91.2,1.2000000000000002,48.,37.800000000000004,129.6,1.2000000000000002,95.2,1.2000000000000002,99.2,1.2000000000000002,114.4,24.,116.,1.2000000000000002,140.8,1.2000000000000002,150.4,1.4000000000000001,3.2,1.4000000000000001,107.2,14.4,108.80000000000001,1.6,132.8,2.,25.6,3.,62.400000000000006,3.8000000000000003,25.6,4.800000000000001,12.8,12.600000000000001,30.400000000000002,5.,55.2,6.800000000000001,144.,7.4,96.80000000000001,7.6000000000000005,99.2,7.6000000000000005,146.4,13.600000000000001,145.6,"","",9.8,12.8,"","",15.,4.,22.6,1.6,17.6,0.8,17.6,33.6,29.,120.,31.400000000000002,145.6,34.6,143.20000000000002,36.,129.6,"","",1.8,130.4,5.4,26.400000000000002,9.,34.4,14.600000000000001,97.60000000000001,19.6,123.2,23.,137.6,24.8,8.,27.400000000000002,98.4,29.8,132.8,10.4,38.400000000000006,14.4,46.400000000000006,18.400000000000002,53.6,34.4,3.2
1.2000000000000002,64.8,1.2000000000000002,92.,1.4000000000000001,48.800000000000004,38.,129.6,1.4000000000000001,94.4,1.4000000000000001,99.2,1.4000000000000001,114.4,24.200000000000003,116.,1.4000000000000001,140.8,1.4000000000000001,150.4,1.6,3.2,1.6,107.2,14.600000000000001,108.80000000000001,1.8,132.8,2.2,25.6,3.2,63.2,4.,26.400000000000002,5.,12.8,12.8,31.200000000000003,5.2,55.2,7.,144.,7.6000000000000005,96.80000000000001,7.800000000000001,98.4,7.800000000000001,146.4,13.8,145.6,"","",10.,12.8,"","",15.200000000000001,4.,22.8,1.6,17.8,0.8,17.8,33.6,29.200000000000003,119.2,31.6,145.6,34.800000000000004,143.20000000000002,36.2,130.4,"","",2.,130.4,5.6000000000000005,26.400000000000002,9.200000000000001,34.4,14.8,97.60000000000001,19.8,123.2,23.200000000000003,137.6,25.,8.,27.6,98.4,30.,132.,10.600000000000001,38.400000000000006,14.600000000000001,47.2,18.6,53.6,34.6,3.2
1.4000000000000001,65.60000000000001,1.4000000000000001,92.80000000000001,1.6,49.6,38.2,129.6,1.6,93.60000000000001,1.6,99.2,1.6,114.4,24.400000000000002,116.,1.6,140.8,1.6,150.4,1.8,3.2,1.8,107.2,14.8,108.80000000000001,2.,132.8,2.4000000000000004,25.6,3.4000000000000004,64.,4.2,27.200000000000003,5.2,12.8,13.,32.,5.4,56.,7.2,144.,7.800000000000001,97.60000000000001,8.,98.4,8.,146.4,14.,145.6,"","",10.200000000000001,12.8,"","",15.4,4.,23.,1.6,18.,0.8,18.,34.4,29.400000000000002,119.2,31.8,146.4,35.,143.20000000000002,"","","","",2.2,130.4,5.800000000000001,26.400000000000002,"","",15.,96.80000000000001,20.,123.2,23.400000000000002,137.6,25.200000000000003,8.,27.8,98.4,30.200000000000003,132.,10.8,38.400000000000006,14.8,48.,18.8,53.6,34.800000000000004,3.2
1.6,66.4,1.6,93.60000000000001,1.8,50.400000000000006,38.400000000000006,129.6,1.8,94.4,1.8,99.2,1.8,114.4,24.6,116.,1.8,140.8,1.8,150.4,2.,3.2,2.,107.2,15.,108.80000000000001,2.2,132.8,2.6,25.6,3.6,64.8,4.4,28.,5.4,12.8,13.200000000000001,32.800000000000004,5.6000000000000005,56.,7.4,144.,8.,98.4,8.200000000000001,98.4,8.200000000000001,146.4,14.200000000000001,145.6,"","",10.4,12.8,"","",15.600000000000001,4.,23.200000000000003,1.6,18.2,0.8,18.2,34.4,29.6,118.4,32.,146.4,36.2,143.20000000000002,"","","","",2.4000000000000004,131.20000000000002,6.,26.400000000000002,"","",15.200000000000001,97.60000000000001,20.200000000000003,123.2,23.6,137.6,25.400000000000002,8.,28.,98.4,30.400000000000002,132.,11.,38.400000000000006,15.,48.800000000000004,19.,53.6,35.,3.2
1.8,67.2,1.8,94.4,2.,51.2,38.6,129.6,2.,94.4,2.,99.2,2.,114.4,24.8,116.,2.,140.8,2.,150.4,2.2,3.2,2.2,107.2,15.200000000000001,108.80000000000001,2.4000000000000004,132.8,2.8000000000000003,25.6,3.8000000000000003,65.60000000000001,4.6000000000000005,28.8,5.6000000000000005,12.8,13.4,33.6,5.800000000000001,56.,7.6000000000000005,144.,8.200000000000001,98.4,8.4,98.4,8.4,146.4,14.4,145.6,"","",10.600000000000001,12.8,"","",15.8,4.,23.400000000000002,1.6,18.400000000000002,0.8,18.400000000000002,35.2,"","",32.2,146.4,36.4,143.20000000000002,"","","","",2.6,131.20000000000002,6.2,26.400000000000002,"","",15.4,97.60000000000001,20.400000000000002,123.2,23.8,136.8,25.6,8.,28.200000000000003,98.4,30.6,132.,11.200000000000001,39.2,15.200000000000001,49.6,19.200000000000003,53.6,35.2,3.2
2.,68.,2.,94.4,2.2,52.,38.800000000000004,129.6,2.2,94.4,2.2,99.2,2.2,114.4,25.,116.,2.2,140.8,2.2,150.4,2.4000000000000004,4.,2.4000000000000004,107.2,15.4,108.80000000000001,2.6,132.8,3.,25.6,4.,66.4,4.800000000000001,29.6,5.800000000000001,12.8,13.600000000000001,34.4,6.,56.800000000000004,7.800000000000001,144.,8.4,98.4,8.6,98.4,8.6,146.4,14.600000000000001,145.6,"","",10.8,12.8,"","",16.,4.,23.6,1.6,18.6,0.8,"","","","",32.4,147.20000000000002,36.6,144.,"","","","",2.8000000000000003,131.20000000000002,6.4,26.400000000000002,"","",15.600000000000001,98.4,20.6,123.2,24.,136.8,25.8,8.,28.400000000000002,98.4,30.8,132.,11.4,39.2,"","",19.400000000000002,53.6,35.4,3.2
