"t [pixel] #1","x [pixel] #1","t [pixel] #2","x [pixel] #2","t [pixel] #3","x [pixel] #3","t [pixel] #4","x [pixel] #4","t [pixel] #5","x [pixel] #5","t [pixel] #6","x [pixel] #6","t [pixel] #7","x [pixel] #7","t [pixel] #8","x [pixel] #8","t [pixel] #9","x [pixel] #9","t [pixel] #10","x [pixel] #10","t [pixel] #11","x [pixel] #11","t [pixel] #12","x [pixel] #12","t [pixel] #13","x [pixel] #13","t [pixel] #14","x [pixel] #14","t [pixel] #15","x [pixel] #15","t [pixel] #16","x [pixel] #16","t [pixel] #17","x [pixel] #17"
0.4,40.800000000000004,0.4,92.80000000000001,0.6000000000000001,27.200000000000003,11.200000000000001,28.,0.6000000000000001,34.4,0.8,84.80000000000001,9.4,84.80000000000001,36.6,84.80000000000001,1.,100.,1.4000000000000001,0.8,1.4000000000000001,80.80000000000001,2.6,103.2,6.2,0.8,25.,80.,0.4,66.4,0.4,68.,13.,93.60000000000001
0.6000000000000001,40.800000000000004,0.6000000000000001,92.80000000000001,0.8,27.200000000000003,11.4,28.,0.8,34.4,1.,84.80000000000001,9.600000000000001,84.80000000000001,36.800000000000004,84.,1.2000000000000002,100.,1.6,1.6,1.6,80.80000000000001,2.8000000000000003,103.2,6.4,0.8,25.200000000000003,80.,0.6000000000000001,65.60000000000001,0.6000000000000001,68.8,13.200000000000001,94.4
0.8,40.800000000000004,0.8,92.80000000000001,1.,27.200000000000003,11.600000000000001,28.,1.,34.4,1.2000000000000002,84.80000000000001,9.8,84.80000000000001,37.,84.,1.4000000000000001,100.,1.8,2.4000000000000004,1.8,80.80000000000001,3.,103.2,6.6000000000000005,1.6,25.400000000000002,80.,0.8,65.60000000000001,0.8,68.8,13.4,95.2
1.,40.800000000000004,1.,92.80000000000001,1.2000000000000002,27.200000000000003,11.8,28.,1.2000000000000002,34.4,1.4000000000000001,84.80000000000001,10.,84.80000000000001,37.2,84.,1.6,100.,2.,3.2,2.,80.80000000000001,3.2,103.2,6.800000000000001,1.6,25.6,80.,1.,64.8,1.,69.60000000000001,13.600000000000001,96.
1.2000000000000002,40.800000000000004,1.2000000000000002,92.80000000000001,1.4000000000000001,27.200000000000003,12.,28.,1.4000000000000001,34.4,1.6,84.80000000000001,10.200000000000001,84.80000000000001,37.4,84.,"","",2.2,4.,2.2,80.80000000000001,3.4000000000000004,103.2,7.,1.6,25.8,80.,1.2000000000000002,64.8,1.2000000000000002,69.60000000000001,13.8,96.80000000000001
1.4000000000000001,40.800000000000004,1.4000000000000001,92.80000000000001,1.6,27.200000000000003,12.200000000000001,28.,1.6,34.4,1.8,84.80000000000001,10.4,84.80000000000001,37.6,84.,"","",2.4000000000000004,4.,2.4000000000000004,80.80000000000001,3.6,103.2,7.2,2.4000000000000004,26.,80.,1.4000000000000001,64.8,1.4000000000000001,70.4,14.,96.80000000000001
1.6,40.800000000000004,1.6,92.80000000000001,1.8,27.200000000000003,12.4,28.,1.8,34.4,2.,84.80000000000001,10.600000000000001,84.80000000000001,37.800000000000004,84.,"","",2.6,4.800000000000001,2.6,80.80000000000001,3.8000000000000003,103.2,7.4,2.4000000000000004,26.200000000000003,80.,1.6,64.8,1.6,71.2,14.200000000000001,97.60000000000001
1.8,40.800000000000004,1.8,92.80000000000001,2.,27.200000000000003,12.600000000000001,28.,2.,34.4,2.2,84.80000000000001,10.8,84.80000000000001,38.,84.,"","",2.8000000000000003,4.800000000000001,2.8000000000000003,80.80000000000001,4.,103.2,7.6000000000000005,2.4000000000000004,26.400000000000002,80.,1.8,64.8,1.8,71.2,14.4,98.4
2.,40.800000000000004,2.,92.80000000000001,2.2,28.,12.8,28.,2.2,34.4,2.4000000000000004,84.80000000000001,11.,84.80000000000001,38.2,84.,"","",3.,5.6000000000000005,3.,80.80000000000001,4.2,103.2,7.800000000000001,3.2,26.6,80.,2.,64.8,2.,72.,14.600000000000001,98.4
2.2,40.800000000000004,2.2,92.80000000000001,2.4000000000000004,28.,13.,28.,2.4000000000000004,34.4,2.6,84.80000000000001,11.200000000000001,84.80000000000001,38.400000000000006,84.,"","",3.2,6.4,3.2,80.80000000000001,4.4,103.2,8.,3.2,26.8,80.,2.2,64.,2.2,72.,14.8,98.4
2.4000000000000004,40.800000000000004,2.4000000000000004,92.80000000000001,2.6,28.,13.200000000000001,28.,2.6,34.4,2.8000000000000003,84.80000000000001,11.4,84.80000000000001,38.6,84.,"","",3.4000000000000004,6.4,3.4000000000000004,80.80000000000001,4.6000000000000005,102.4,8.200000000000001,3.2,27.,80.,2.4000000000000004,63.2,2.4000000000000004,72.8,15.,99.2
2.6,40.800000000000004,2.6,92.80000000000001,2.8000000000000003,28.,13.4,28.,2.8000000000000003,34.4,3.,84.80000000000001,11.600000000000001,84.80000000000001,38.800000000000004,84.,"","",3.6,7.2,3.6,80.80000000000001,4.800000000000001,102.4,8.4,4.,27.200000000000003,80.,2.6,63.2,2.6,73.60000000000001,15.200000000000001,100.
2.8000000000000003,40.800000000000004,2.8000000000000003,92.80000000000001,3.,28.,13.600000000000001,28.,3.,34.4,3.2,84.80000000000001,11.8,84.80000000000001,39.,84.,"","",3.8000000000000003,8.,3.8000000000000003,80.80000000000001,5.,102.4,8.6,4.,27.400000000000002,80.,2.8000000000000003,62.400000000000006,2.8000000000000003,73.60000000000001,15.4,100.80000000000001
3.,40.800000000000004,3.,92.80000000000001,3.2,28.,13.8,28.,3.2,34.4,3.4000000000000004,84.80000000000001,12.,85.60000000000001,39.2,84.,"","",4.,8.8,4.,80.80000000000001,5.2,102.4,8.8,4.,27.6,80.,3.,62.400000000000006,3.,74.4,15.600000000000001,101.60000000000001
3.2,40.800000000000004,3.2,92.80000000000001,3.4000000000000004,28.,14.,28.,3.4000000000000004,34.4,3.6,84.80000000000001,12.200000000000001,85.60000000000001,39.400000000000006,84.,"","",4.2,9.600000000000001,4.2,80.80000000000001,5.4,102.4,9.,4.800000000000001,27.8,80.,3.2,61.6,3.2,74.4,"",""
3.4000000000000004,40.800000000000004,3.4000000000000004,92.80000000000001,3.6,28.,14.200000000000001,28.,3.6,34.4,3.8000000000000003,84.80000000000001,12.4,85.60000000000001,39.6,84.,"","",4.4,10.4,4.4,80.80000000000001,5.6000000000000005,102.4,9.200000000000001,4.800000000000001,28.,80.,3.4000000000000004,60.800000000000004,3.4000000000000004,75.2,"",""
3.6,40.800000000000004,3.6,92.80000000000001,3.8000000000000003,28.,14.4,28.,3.8000000000000003,34.4,4.,84.80000000000001,12.600000000000001,85.60000000000001,39.800000000000004,84.80000000000001,"","",4.6000000000000005,11.200000000000001,4.6000000000000005,80.80000000000001,5.800000000000001,102.4,9.4,5.6000000000000005,28.200000000000003,80.,3.6,60.800000000000004,3.6,75.2,"",""
3.8000000000000003,40.800000000000004,3.8000000000000003,92.80000000000001,4.,28.,14.600000000000001,28.,4.,34.4,4.2,84.80000000000001,12.8,85.60000000000001,"","","","",4.800000000000001,11.200000000000001,4.800000000000001,80.80000000000001,6.,103.2,9.600000000000001,5.6000000000000005,28.400000000000002,80.,3.8000000000000003,60.,3.8000000000000003,76.,"",""
4.,40.800000000000004,4.,92.80000000000001,4.2,28.,14.8,28.,4.2,34.4,4.4,84.80000000000001,13.,85.60000000000001,"","","","",5.,12.,5.,80.,6.2,103.2,9.8,6.4,28.6,80.,4.,59.2,4.,76.,"",""
4.2,40.800000000000004,4.2,92.80000000000001,4.4,28.,15.,28.,4.4,34.4,4.6000000000000005,84.80000000000001,13.200000000000001,85.60000000000001,"","","","",5.2,12.8,5.2,80.,6.4,103.2,10.,6.4,28.8,80.,4.2,58.400000000000006,4.2,76.80000000000001,"",""
4.4,40.800000000000004,4.4,92.80000000000001,4.6000000000000005,28.,15.200000000000001,28.,4.6000000000000005,34.4,4.800000000000001,84.80000000000001,13.4,85.60000000000001,"","","","",5.4,13.600000000000001,5.4,80.,6.6000000000000005,103.2,10.200000000000001,7.2,29.,80.,4.4,58.400000000000006,4.4,76.80000000000001,"",""
4.6000000000000005,40.800000000000004,4.6000000000000005,92.80000000000001,4.800000000000001,28.,15.4,28.,4.800000000000001,34.4,5.,84.80000000000001,13.600000000000001,85.60000000000001,"","","","",5.6000000000000005,13.600000000000001,5.6000000000000005,80.,6.800000000000001,103.2,10.4,7.2,29.200000000000003,80.,4.6000000000000005,57.6,4.6000000000000005,77.60000000000001,"",""
4.800000000000001,40.800000000000004,4.800000000000001,92.80000000000001,5.,28.,15.600000000000001,28.,5.,34.4,5.2,84.80000000000001,13.8,85.60000000000001,"","","","",5.800000000000001,14.4,5.800000000000001,80.,7.,103.2,10.600000000000001,7.2,29.400000000000002,80.,4.800000000000001,57.6,4.800000000000001,77.60000000000001,"",""
5.,40.800000000000004,5.,92.80000000000001,5.2,28.,15.8,28.,5.2,34.4,5.4,84.80000000000001,14.,85.60000000000001,"","","","",6.,15.200000000000001,6.,80.80000000000001,7.2,103.2,10.8,7.2,29.6,80.,5.,56.800000000000004,5.,78.4,"",""
