"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,1.,0.75,3.,75.3717,0.8666666666666668
2,1.,0.505,33.,66.18820000000001,1.
3,0.,0.,5.,52.5264,7.639999999999999
4,1.,0.167,2.,71.42240000000001,2.3
5,0.,0.,1.,57.349000000000004,2.6
6,0.,-0.028,2.,41.332300000000004,14.3
7,1.,0.308,3.,64.2029,0.6666666666666669
8,0.,-0.046,4.,74.2752,4.199999999999999
9,0.,-0.047,2.,60.353300000000004,8.5
10,-1.,-2.222,3.,49.527300000000004,0.26666666666666666
11,0.,0.,1.,52.330600000000004,1.6
12,0.,0.,1.,41.3162,0.6
13,0.,-0.053000000000000005,6.,34.9489,2.3333333333333335
14,0.,0.,1.,34.5534,1.4000000000000001
15,0.,-0.07300000000000001,1.,51.4118,10.8
