"pTime [sec] #1","pTime [sec] #2","pTime [sec] #3","pTime [sec] #4","pTime [sec] #5","pTime [sec] #6","pTime [sec] #7","pTime [sec] #8","pTime [sec] #9","pTime [sec] #10","pTime [sec] #11","pTime [sec] #12","pTime [sec] #13","pTime [sec] #14","pTime [sec] #15","pTime [sec] #16","pTime [sec] #17","pTime [sec] #18","pTime [sec] #19","pTime [sec] #20","pTime [sec] #21","pTime [sec] #22","pTime [sec] #23","pTime [sec] #24","pTime [sec] #25","pTime [sec] #26","pTime [sec] #27","pTime [sec] #28","pTime [sec] #29","pTime [sec] #30","pTime [sec] #31","pTime [sec] #32","pTime [sec] #33","pTime [sec] #34","pTime [sec] #35","pTime [sec] #36"
21.2,0.4,0.2,1.6,1.4000000000000001,0.6,4.8,4.6000000000000005,0.4,3.6,0.2,5.6000000000000005,0.6,0.2,23.8,2.,5.6000000000000005,0.2,0.8,0.4,0.2,0.2,7.2,1.8,0.4,10.,1.8,0.8,0.2,3.6,0.6,0.6,1.2,1.8,0.2,0.6
1.2,0.2,0.2,"",1.8,0.8,1.,0.6,0.2,1.2,0.2,0.8,1.6,0.2,"","",6.800000000000001,13.600000000000001,0.4,0.4,0.2,0.2,0.6,1.8,1.,"","","",0.2,2.4,0.6,4.,0.2,9.6,0.6,2.
0.4,0.2,0.4,"",0.4,1.,0.2,1.,0.4,1.2,0.2,0.8,2.8000000000000003,0.4,"","","",0.2,"",0.2,0.2,0.2,"",1.4000000000000001,0.4,"","","",0.6,0.2,4.4,1.2,"",0.4,0.6,3.2
0.2,0.4,0.8,"",9.,0.6,0.2,10.6,0.6,2.,0.2,0.6,3.2,0.2,"","","",0.4,"",0.2,0.2,"","",2.2,1.,"","","",0.4,5.4,0.4,1.,"",0.2,1.4000000000000001,2.4
0.2,0.6,1.6,"","",0.8,0.4,1.4000000000000001,0.4,0.6,0.4,1.,2.6,0.4,"","","",1.,"",0.6,0.2,"","","",0.2,"","","",0.4,0.4,1.8,"","",0.4,2.,1.4000000000000001
0.6,0.2,0.6,"","",0.6,0.2,1.8,0.2,4.,"",0.2,0.4,0.2,"","","",0.6,"",0.2,0.6,"","","",0.8,"","","",0.2,4.4,5.800000000000001,"","",3.,1.,1.8
2.6,0.4,0.4,"","","",0.4,9.6,0.4,3.,"",2.,0.8,0.2,"","","",1.,"",1.4000000000000001,0.8,"","","",0.6,"","","",0.2,6.2,1.,"","","","",0.4
0.6,4.2,0.4,"","","",0.2,"",1.,0.8,"",1.,0.2,0.2,"","","",0.6,"",0.6,0.2,"","","",0.4,"","","",0.4,4.4,2.,"","","","",""
2.6,"",4.6000000000000005,"","","",1.4000000000000001,"",1.2,8.200000000000001,"",1.8,"",0.2,"","","",0.2,"",0.6,"","","","",3.,"","","",0.4,0.2,1.4000000000000001,"","","","",""
2.4,"","","","","","","",1.,1.6,"",1.6,"",0.4,"","","","","",0.2,"","","","",0.2,"","","",0.2,0.4,0.2,"","","","",""
0.6,"","","","","","","",0.2,5.6000000000000005,"","","",0.6,"","","","","",0.6,"","","","",0.2,"","","",0.4,0.2,0.2,"","","","",""
0.6,"","","","","","","",0.6,2.8000000000000003,"","","",30.,"","","","","",3.6,"","","","",0.2,"","","",0.6,0.6,0.2,"","","","",""
0.4,"","","","","","","","",2.6,"","","","","","","","","",1.,"","","","",0.2,"","","","",2.,1.4000000000000001,"","","","",""
1.4000000000000001,"","","","","","","","","","","","","","","","","","",0.8,"","","","",2.6,"","","","",1.,0.4,"","","","",""
"","","","","","","","","","","","","","","","","","","",0.2,"","","","",0.6,"","","","",0.6,0.6,"","","","",""
"","","","","","","","","","","","","","","","","","","",0.8,"","","","",5.2,"","","","",0.2,0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","",1.4000000000000001,"","","","","","","","","",0.2,0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","",0.2,"","","","","","","","","",0.8,0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","",1.8,"","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","",0.6,"","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.8,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.4,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.4,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.4,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.2,"","","","",""
