"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.1","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,1.,1.6280000000000001,21.,77.6341,0.7238095238095239
2,1.,2.04,22.,81.5021,0.427272727272727
3,1.,2.442,24.,98.0035,0.5750000000000001
4,0.,0.,1.,52.339000000000006,1.8
5,-1.,-0.381,36.,85.5389,0.8055555555555555
6,-1.,-0.308,1.,61.638600000000004,2.4
7,0.,0.,4.,48.380500000000005,5.
8,0.,-0.05,7.,38.720400000000005,2.028571428571429
9,0.,-0.08800000000000001,12.,108.8217,2.75
10,0.,0.054,11.,52.1058,2.5090909090909097
11,1.,0.8180000000000001,9.,63.1385,0.7333333333333335
12,0.,0.,3.,45.5959,3.5333333333333337
13,0.,0.,1.,50.3646,3.2
14,0.,0.067,8.,82.3381,2.8000000000000003
15,1.,0.615,3.,83.07820000000001,0.7333333333333334
16,1.,3.733,3.,59.602500000000006,0.2
17,1.,0.6920000000000001,24.,75.7813,1.1666666666666667
18,1.,1.867,4.,65.8698,0.8500000000000001
19,1.,2.8000000000000003,7.,74.4234,0.37142857142857144
20,1.,2.769,17.,51.0204,0.30588235294117655
21,1.,0.12100000000000001,2.,57.868500000000004,3.2
22,-1.,-0.14300000000000002,4.,54.596000000000004,1.05
23,1.,0.75,3.,52.9542,0.7999999999999999
24,0.,0.,1.,73.53240000000001,4.4
25,-1.,-0.556,3.,58.993300000000005,1.3333333333333333
26,0.,0.,1.,50.6509,0.6
27,1.,0.656,20.,55.7426,0.9499999999999995
28,0.,0.,1.,49.761900000000004,0.6
29,-1.,-0.34800000000000003,2.,46.7618,2.1
30,1.,1.3780000000000001,8.,75.1819,1.3249999999999997
31,1.,1.7590000000000001,36.,94.03450000000001,0.36666666666666653
32,1.,2.5,3.,59.0947,0.2
33,-1.,-2.286,3.,36.123000000000005,0.2
34,1.,0.9780000000000001,6.,37.146300000000004,0.6666666666666666
35,1.,0.64,5.,45.9568,0.8400000000000001
36,1.,4.,0.,53.286,0
37,1.,5.333,0.,40.992200000000004,0
38,0.,0.,4.,70.9255,1.25
39,0.,0.,4.,93.9531,3.3000000000000003
40,-1.,-1.6,2.,54.575900000000004,0.30000000000000004
41,1.,0.598,12.,52.5238,1.7166666666666666
42,-1.,-0.522,2.,44.5268,2.
43,-1.,-0.18000000000000002,10.,74.8897,1.4600000000000002
44,1.,0.65,14.,102.6448,0.8428571428571424
45,-1.,-0.12100000000000001,3.,40.6554,2.
46,0.,-0.07300000000000001,7.,65.5137,1.3714285714285714
47,1.,0.615,3.,62.798300000000005,0.6
48,1.,4.,0.,58.261100000000006,0
49,0.,0.,1.,43.9125,2.4
50,-1.,-0.133,1.,53.408,5.800000000000001
