"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.1","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,1.,1.622,40.,93.97,0.4149999999999999
2,1.,3.3850000000000002,5.,119.3054,0.36000000000000004
3,-1.,-1.,1.,110.99010000000001,0.6
4,1.,0.21100000000000002,3.,104.28620000000001,1.0666666666666667
5,1.,1.5,3.,107.7535,0.3333333333333333
6,0.,0.,12.,155.291,2.983333333333333
7,1.,0.792,26.,79.5626,0.5307692307692307
8,1.,0.28600000000000003,4.,89.0809,1.1
9,1.,0.667,4.,127.05510000000001,0.65
10,-1.,-0.8150000000000001,11.,133.096,0.6727272727272727
11,0.,0.,11.,159.2405,2.8363636363636364
12,1.,0.222,5.,87.0231,0.52
13,0.,-0.051000000000000004,9.,221.1249,3.288888888888889
14,0.,0.,1.,380.5989,39.6
15,0.,0.,23.,103.40310000000001,1.4521739130434779
16,0.,-0.067,15.,92.54870000000001,2.1466666666666665
17,1.,2.8000000000000003,2.,98.72240000000001,0.30000000000000004
18,0.,0.,1.,118.53630000000001,1.6
19,1.,0.5810000000000001,19.,129.4366,0.9473684210526314
20,1.,1.286,9.,78.01530000000001,0.3333333333333333
21,1.,1.6360000000000001,5.,96.6491,0.56
22,-1.,-0.333,1.,81.0395,2.2
23,-1.,-0.267,1.,63.2939,2.8000000000000003
24,1.,2.609,7.,90.7522,0.2571428571428571
25,1.,1.429,5.,55.8943,0.36000000000000004
26,-1.,-0.889,1.,63.4087,1.4000000000000001
27,0.,0.,1.,91.58720000000001,1.2
28,1.,2.5,3.,78.34830000000001,0.2
29,1.,1.1500000000000001,16.,86.76610000000001,0.6250000000000001
30,1.,1.4380000000000002,3.,88.15870000000001,0.6
31,1.,1.333,1.,94.92150000000001,0.4
32,-1.,-1.333,1.,75.9434,0.4
33,0.,0.,1.,90.8287,0.8
34,0.,0.,3.,75.6174,0.6
35,1.,3.2,2.,54.971500000000006,0.2
36,0.,-0.045000000000000005,4.,97.8579,4.300000000000001
37,1.,2.9570000000000003,14.,88.5536,0.4285714285714287
38,1.,1.5,6.,91.1485,0.5
39,1.,2.241,31.,81.3717,0.3483870967741934
40,1.,1.689,23.,80.70060000000001,0.4434782608695651
41,1.,4.,0.,48.153000000000006,0
42,1.,1.25,11.,73.09,0.5636363636363637
43,1.,0.727,2.,62.1004,1.8
44,1.,0.231,11.,72.1122,0.6727272727272727
45,1.,2.9090000000000003,6.,66.9807,0.2
46,1.,0.28600000000000003,2.,65.73230000000001,1.3
47,0.,0.,1.,78.5691,2.8000000000000003
48,1.,0.6,4.,55.6723,0.7500000000000001
49,-1.,-0.8,2.,63.2571,0.4
50,0.,0.,1.,45.963100000000004,2.2
51,1.,2.717,9.,71.9572,0.4
52,1.,0.308,2.,76.4298,1.2000000000000002
53,1.,0.372,10.,81.99000000000001,0.5000000000000001
54,1.,0.48000000000000004,4.,51.1822,1.1
55,1.,0.167,4.,53.389700000000005,1.0499999999999998
56,1.,0.769,4.,62.8594,1.05
57,1.,2.5260000000000002,5.,47.191900000000004,0.27999999999999997
58,1.,1.,2.,45.5619,0.30000000000000004
59,-1.,-0.14800000000000002,2.,108.5053,2.4000000000000004
60,1.,2.833,26.,116.1892,0.22307692307692317
61,1.,4.,1.,101.3401,0.2
62,1.,1.9300000000000002,26.,93.9431,0.6846153846153847
63,1.,0.609,6.,96.7959,1.2333333333333334
64,-1.,-1.103,6.,63.3659,0.7000000000000001
65,0.,-0.066,9.,42.966,1.1555555555555554
66,-1.,-0.457,10.,89.1971,1.1199999999999999
67,1.,1.0530000000000002,5.,60.7301,0.5600000000000002
68,1.,1.111,6.,143.2245,0.3666666666666667
69,-1.,-0.11900000000000001,3.,96.37530000000001,4.2
70,1.,4.667,1.,78.49470000000001,0.2
71,1.,3.077,3.,92.10090000000001,0.2
72,1.,0.4,1.,66.4985,1.8
73,0.,0.,6.,70.28490000000001,2.733333333333333
74,0.,0.048,12.,137.9236,2.45
75,0.,0.,3.,89.6117,4.266666666666667
76,1.,0.341,6.,178.047,2.5
77,1.,2.983,14.,109.438,0.21428571428571433
78,1.,2.857,5.,59.701,0.24000000000000005
79,1.,2.293,17.,111.06190000000001,0.3411764705882354
80,0.,-0.07100000000000001,6.,136.44650000000001,3.4000000000000004
81,1.,4.,1.,94.80380000000001,0.2
