"Negative","Stationary","Positive"
-0.17600000000000002,-0.02,0.11800000000000001
-0.167,0.02,1.082
-0.154,0.1,0.667
-0.182,0.,0.621
"",0.02,2.24
"",0.025,0.308
"",0.,0.261
"",0.,1.429
"",-0.064,""
"",0.024,""
"",0.,""
"",0.092,""
"",0.036000000000000004,""
"",0.,""
"",0.,""
"",0.,""
"",-0.066,""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
