"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.025","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,1.,0.234,14.,40.3057,2.5
2,1.,0.93,8.,47.9393,0.8250000000000001
3,1.,0.299,9.,101.4608,1.0222222222222224
4,-1.,-0.444,1.,110.4081,1.6
5,0.,-0.057,4.,105.3279,3.15
6,1.,0.8570000000000001,6.,65.1695,0.7333333333333333
7,-1.,-0.741,9.,79.364,0.9777777777777779
8,0.,0.,7.,50.2139,4.228571428571429
9,1.,2.2030000000000003,12.,51.311800000000005,0.5499999999999999
10,0.,-0.04,13.,36.9484,2.8615384615384616
11,1.,2.,5.,89.049,0.24000000000000005
12,0.,0.044000000000000004,10.,48.4497,1.54
13,0.,0.059000000000000004,8.,42.0492,1.525
14,1.,0.41900000000000004,12.,96.3527,2.766666666666667
15,0.,0.,1.,68.663,23.8
16,0.,0.,1.,46.4472,2.
17,0.,0.063,2.,33.409600000000005,6.200000000000001
18,-1.,-0.61,9.,42.291000000000004,1.9777777777777779
19,1.,1.,2.,49.207,0.6000000000000001
20,1.,0.404,20.,66.3978,0.79
21,1.,1.9200000000000002,8.,42.645900000000005,0.32500000000000007
22,1.,2.6670000000000003,3.,74.05120000000001,0.2
23,0.,0.1,2.,37.968,3.9
24,1.,0.10300000000000001,4.,45.051100000000005,1.8
25,1.,0.865,16.,56.560700000000004,1.0624999999999998
26,0.,0.,1.,42.5672,10.
27,1.,0.4,1.,34.272,1.8
28,0.,0.,1.,42.404,0.8
29,1.,1.9000000000000001,12.,38.7233,0.3499999999999999
30,1.,0.379,18.,78.0065,1.8444444444444446
31,1.,0.932,33.,63.1531,0.8060606060606057
32,-1.,-0.108,4.,37.4767,1.7
33,1.,1.455,2.,77.5794,0.7
34,0.,0.,6.,39.2729,2.566666666666667
35,1.,0.457,6.,46.3556,0.9666666666666667
36,1.,0.12300000000000001,7.,52.310500000000005,1.6857142857142862
