"KymoButler Version 2.1.1 Summary","pixelsize time= 0.2 sec","pixelsize space= 0.8 um","minimum frames= 3","minimum obj size= 3","flux #/sec positive= 0.025","flux #/sec negative= 0.","threshold= 0.15"
"Track ID","Direction (1:Positive, 0:near-zero, -1:negative)","Av frame2frame velocity [um/sec]","Number of Pauses","Average Intensity","average pause time [sec]"
1,0.,0.,1.,103.9081,1.4000000000000001
2,0.,-0.024,8.,78.9133,4.025
3,0.,-0.04,6.,83.03800000000001,6.400000000000001
4,0.,-0.045000000000000005,4.,74.84790000000001,4.3
5,0.,0.,1.,66.186,19.6
6,0.,0.,3.,83.2577,7.666666666666667
7,0.,0.,1.,65.8764,12.200000000000001
8,1.,2.047,47.,148.982,0.26808510638297867
9,-1.,-0.21100000000000002,2.,84.11030000000001,3.4000000000000004
10,0.,0.,1.,64.93730000000001,11.200000000000001
11,1.,2.095,24.,109.30040000000001,0.3333333333333334
12,0.,0.,13.,70.0177,2.230769230769231
13,1.,0.16,8.,125.659,2.7249999999999996
14,0.,0.02,11.,96.2591,3.3636363636363638
15,0.,0.,11.,102.5336,3.4181818181818184
16,0.,0.,3.,87.227,6.666666666666667
17,1.,1.429,5.,73.5738,0.36
18,0.,0.038,4.,92.0387,4.7
19,0.,-0.078,2.,75.3379,5.000000000000001
20,0.,0.02,22.,90.1923,1.5818181818181813
21,1.,2.0140000000000002,12.,72.52770000000001,0.8000000000000002
22,-1.,-0.367,7.,92.4486,2.7142857142857144
23,0.,0.,2.,69.9444,2.3000000000000003
24,0.,0.,6.,84.5946,5.833333333333333
25,-1.,-0.19,1.,65.54010000000001,4.
26,-1.,-0.17400000000000002,1.,61.948,4.4
27,0.,0.,5.,71.9,2.2399999999999998
28,1.,4.,0.,52.0156,0
29,0.,0.,1.,59.5968,1.
30,0.,0.,1.,51.6936,0.8
31,1.,1.111,13.,138.6785,0.8
32,1.,1.818,4.,57.217400000000005,0.3
33,0.,-0.053000000000000005,7.,89.67360000000001,1.9428571428571426
34,-1.,-0.167,2.,62.120900000000006,2.3
35,1.,0.638,9.,65.5126,1.0666666666666667
36,0.,0.,1.,65.18480000000001,12.600000000000001
37,1.,0.8,2.,61.5574,0.8
38,-1.,-0.167,3.,57.1282,1.3999999999999997
39,1.,3.556,2.,58.5824,0.2
40,0.,0.,4.,143.3902,3.55
41,1.,2.8240000000000003,6.,72.4264,0.2
42,1.,3.818,4.,74.9895,0.2
43,-1.,-0.28600000000000003,1.,67.6537,2.6
44,1.,2.886,31.,166.5002,0.2774193548387097
45,1.,2.,13.,78.9631,0.30769230769230776
46,0.,0.068,9.,131.04170000000002,1.1111111111111114
47,-1.,-0.129,5.,103.614,4.8
48,0.,0.021,11.,107.9032,3.2
