"Negative","Stationary","Positive"
-1.,0.,1.622
-0.8150000000000001,0.,3.3850000000000002
-0.333,-0.051000000000000004,0.21100000000000002
-0.267,0.,1.5
-0.889,0.,0.792
-1.333,-0.067,0.28600000000000003
-0.8,0.,0.667
-0.14800000000000002,0.,0.222
-1.103,0.,2.8000000000000003
-0.457,0.,0.5810000000000001
-0.11900000000000001,-0.045000000000000005,1.286
"",0.,1.6360000000000001
"",0.,2.609
"",-0.066,1.429
"",0.,2.5
"",0.048,1.1500000000000001
"",0.,1.4380000000000002
"",-0.07100000000000001,1.333
"","",3.2
"","",2.9570000000000003
"","",1.5
"","",2.241
"","",1.689
"","",4.
"","",1.25
"","",0.727
"","",0.231
"","",2.9090000000000003
"","",0.28600000000000003
"","",0.6
"","",2.717
"","",0.308
"","",0.372
"","",0.48000000000000004
"","",0.167
"","",0.769
"","",2.5260000000000002
"","",1.
"","",2.833
"","",4.
"","",1.9300000000000002
"","",0.609
"","",1.0530000000000002
"","",1.111
"","",4.667
"","",3.077
"","",0.4
"","",0.341
"","",2.983
"","",2.857
"","",2.293
"","",4.
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
